business_id,categories,city,full_address,latitude,longitude,name,open,review_count,stars,state,type
"0FNFSzCFP_rGUoJx8W7tJg",[4 5 6],"Phoenix","2149 W Wood Dr\\nPhoenix, AZ 85029",33.6041,-112.106,"Bike Doctor",1,5,5,"AZ","business"
"3f_lyB6vFK48ukH6ScvLHg",[],"Phoenix","1134 N Central Ave\\nPhoenix, AZ 85004",33.4605,-112.074,"Valley Permaculture Alliance",1,4,5,"AZ","business"
"usAsSV36QmUej8--yvN-dg",[7 8],"Phoenix","845 W Southern Ave\\nPhoenix, AZ 85041",33.3922,-112.085,"Food City",1,5,3.5,"AZ","business"
"PzOqRohWw7F7YEPBz6AubA",[7 9 10 11],"Glendale Az","6520 W Happy Valley Rd\\nSte 101\\nGlendale Az, AZ 85310",33.7128,-112.2,"Hot Bagels & Deli",1,14,3.5,"AZ","business"
"gtQzAiy7D-dPU8WzT3jX3Q",[12 13 6],"Glendale","The Americana at Brand\\n869 Americana Way\\nGlendale, CA 91210",33.6078,-112.482,"Barney's New York Co-op",1,6,4.5,"CA","business"
"FrBCYtCS_jydDjg1KsIgWQ",[14 15 16 6],"Phoenix","1850 W Camelback Rd\\nSte 1\\nPhoenix, AZ 85015",33.5097,-112.099,"Zia Record Exchange",1,21,3.5,"AZ","business"
"yaXAD-Mv2K2PEZobmqjIYA",[17 18],"Phoenix","3415 W Northern Ave\\nPhoenix, AZ 85051",33.5519,-112.133,"Reflections Bingo",1,4,5,"AZ","business"
"o3ehs4ZEdsizbJyB9_j7uQ",[19 20 6 21 22 13 23],"Scottsdale","6938 E 1st St\\nScottsdale, AZ 85251",33.4922,-111.931,"Jam",1,14,5,"AZ","business"
"qarobAbxGSHI7ygf1f7a_Q",[24 11],"Gilbert","891 E Baseline Rd\\nSuite 102\\nGilbert, AZ 85233",33.3788,-111.812,"Jersey Mike's Subs",1,10,3.5,"AZ","business"
"C1xciP65n4t4R1Q4h1zOHw",[14 15 25 6],"Scottsdale","8860 E Chaparral Rd\\nSte 100\\nScottsdale, AZ 85250",33.5135,-111.889,"Fender Musical Instruments Corporation",1,4,4.5,"AZ","business"
"gA5CuBxF-0CnOpGnryWJdQ",[26 11],"Phoenix","519 W Thomas Rd\\nPhoenix, AZ 85013",33.4801,-112.081,"La Paloma Mexican Food",1,5,4,"AZ","business"
"acaBJcFEKPmmSDIO6c-ZGQ",[7 8],"Goodyear","2075 N Pebble Creek Pkwy\\nGoodyear, AZ 85395",33.4688,-112.392,"Basha's",1,3,3,"AZ","business"
"JxVGJ9Nly2FFIs_WpJvkug",[27 11],"Scottsdale","14418 N Scottsdale Rd\\nSuite 181\\nScottsdale, AZ 85254",33.6175,-111.926,"Sauce",1,55,4,"AZ","business"
"9iLiMm3Z9nepRDu1AhgEoQ",[28 17 29],"Chandler","3535 W Chandler Blvd\\nChandler, AZ 85226",33.3054,-111.903,"Windmill Inns & Suites",1,7,4.5,"AZ","business"
"G2Re2E5Jkv_UF1xrenSsDg",[30 13 6],"Phoenix","4500 E Cactus Rd\\nPhoenix, AZ 85032",33.5993,-111.982,"Macy's",1,11,4,"AZ","business"
"8lTdJA9GK59-NzJwleSJBQ",[31 32],"Tempe","7501 S McAllister Ave\\nTempe, AZ 85283",33.3503,-111.931,"Clearly Professional Window Cleaning",1,12,5,"AZ","business"
"Jj7bcQ6NDfKoz4TXwvYfMg",[33 11],"Phoenix","8941 N Black Canyon Hwy\\nPhoenix, AZ 85021",33.567,-112.116,"Fuddruckers",1,23,4,"AZ","business"
"OMXAkiWyKz0AM6PwwuP38Q",[34 6 35],"Chandler","7131 W Ray Rd\\nSuite 14\\nChandler, AZ 85226",33.3179,-111.964,"Sur La Table",1,15,4,"AZ","business"
"K0v87iFgB3sXSzw6e-BJ5w",[7 36],"Carefree","100 Easy St\\nCarefree, AZ 85377",33.8242,-111.923,"AZ Wine Company",1,8,4.5,"AZ","business"
"jcQgDviuCuJLJWjYoTy9MA",[37 32],"Mesa","Mesa, AZ 85215",33.5195,-111.547,"Rocket Rooter Plumbing and Drain Service",1,4,5,"AZ","business"
